country,n
Afghanistan,10
Algeria,3
American Samoa,2
Argentina,42
Australia,33
Austria,36
Bangladesh,11
Belarus,1
Belgium,19
Benin,37
Bolivia,7
Botswana,2
Brazil,62
Bulgaria,5
Burkina Faso,8
Cameroon,8
Canada,59
Central African Republic,1
Chile,7
China,6
Colombia,16
Congo,1
Costa Rica,18
Côte d'Ivoire,8
Croatia,2
Curaçao,4
Czech Republic,7
Democratic Republic of the Congo,1
Denmark,13
Dominican Republic,1
Ecuador,12
Egypt,3
El Salvador,7
Ethiopia,25
Finland,10
France,53
Gabon,1
Gambia,1
Germany,132
Ghana,7
Greece,3
Guatemala,4
Guinea,1
Haiti,1
Honduras,2
Hong Kong,3
Hungary,4
India,105
Indonesia,6
Iran,2
Iraq,1
Ireland,12
Israel,3
Italy,19
Jamaica,1
Japan,6
Kazakhstan,1
Kenya,21
Latvia,3
Lesotho,1
Lithuania,1
Madagascar,2
Malawi,3
Malaysia,6
Mali,2
Mauritius,1
Mexico,18
Moldova,1
Mongolia,1
Morocco,3
Mozambique,1
Namibia,1
Nepal,5
Netherlands,28
New Zealand,4
Nicaragua,3
Niger,2
Nigeria,39
North Macedonia,1
Norway,8
Oman,1
Pakistan,6
Palestinian Territories,1
Paraguay,2
Peru,14
Philippines,15
Poland,32
Portugal,2
Romania,7
Russia,5
Saudi Arabia,9
Senegal,5
Sierra Leone,2
Singapore,9
Slovakia,1
Slovenia,1
Somalia,4
South Africa,26
South Korea,10
Spain,36
Sri Lanka,5
Sudan,4
Suriname,1
Swaziland,2
Sweden,4
Switzerland,104
Syria,2
Taiwan,2
Tanzania,2
Thailand,3
Togo,4
Tunisia,8
Turkey,19
Uganda,5
Ukraine,1
United Kingdom,70
United States,355
Uruguay,4
Venezuela,4
Vietnam,1
Zambia,5
Zimbabwe,3
