Year,Date,Action,Summary
2021,15-12-2020,Tutorial submission opens,"28 Weeks, 6 Days before the conference"
2021,25-01-2021,"Abstract submission for regular talks, panels, incubators and elevator pitches opens","23 Weeks, 0 Days before the conference"
2021,05-02-2021,Tutorial submission closes,"21 Weeks, 3 Days before the conference"
2021,12-03-2021,Communicate selected tutorials,"16 Weeks, 3 Days before the conference"
2021,22-03-2021,Abstract submission closes,"15 Weeks, 0 Days before the conference"
2021,20-04-2021,Registration opens,"10 Weeks, 6 Days before the conference"
2021,10-05-2021,Communicate selected abstracts,"8 Weeks, 0 Days before the conference"
2021,28-05-2021,Early Bird rates are extended until Registration closes,"5 Weeks, 3 Days before the conference"
2021,23-06-2021,"Deadline for selected contributors to send us videos, technical notes and transcripts","1 Weeks, 5 Days before the conference"
2021,25-06-2021,Registration closes,"1 Weeks, 3 Days before the conference"
2021,05-07-2021,Conference opens,"0 Weeks, 0 Days conference started"
2021,09-07-2021,Conference ends,"0 Weeks, 4 Days conference ended"
2019,17-12-2018,"Opening of submission (both tutorials, abstracts and scholarship application)","29 Weeks, 1 Days before the conference"
2019,18-01-2019,Closing of tutorial submissions,"24 Weeks, 4 Days before the conference"
2019,21-01-2019,Opening of registration,"24 Weeks, 1 Days before the conference"
2019,15-02-2019,Tutorial selection,"20 Weeks, 4 Days before the conference"
2019,01-03-2019,Closing of abstract submissions and diversity scholarship application,"18 Weeks, 4 Days before the conference"
2019,15-04-2019,Abstract selection and diversity scholarship announcement,"12 Weeks, 1 Days before the conference"
2019,07-05-2019,End of early bird registration,"9 Weeks, 0 Days before the conference"
2019,09-07-2019,Conference opens,"0 Weeks, 0 Days conference started"
2019,12-07-2019,Conference ends,"0 Weeks, 3 Days conference ended"
2017,15-12-2016,Website Online,"28 Weeks, 6 Days before the conference"
2017,15-12-2016,Open Submission of Tutorials,"28 Weeks, 6 Days before the conference"
2017,05-01-2017,Open Submission of Abstracts,"25 Weeks, 6 Days before the conference"
2017,05-01-2017,Open Registration,"25 Weeks, 6 Days before the conference"
2017,15-01-2017,Tutorial Submission Deadline,"24 Weeks, 3 Days before the conference"
2017,01-04-2017,Abstract Submission Deadline,"13 Weeks, 4 Days before the conference"
2017,01-04-2017,Young Academics Scholarship Submission Deadline,"13 Weeks, 4 Days before the conference"
2017,01-05-2017,Notification of Acceptance,"9 Weeks, 2 Days before the conference"
2017,23-06-2017,Upload your poster,"1 Weeks, 5 Days before the conference"
2017,04-07-2017,Tutorials,"0 Weeks, 1 Days before the conference"
2017,05-07-2017,Conference opens,"0 Weeks, 0 Days conference started"
2017,07-07-2017,Conference ends,"0 Weeks, 2 Days conference ended"
2016,05-01-2016,Open submissions of abstracts,"25 Weeks, 0 Days before the conference"
2016,05-01-2016,Open Registration,"25 Weeks, 0 Days before the conference"
2016,10-01-2016,Tutorial Submissions Deadline,"24 Weeks, 2 Days before the conference"
2016,25-03-2016,Abstract Submissions Deadline,"13 Weeks, 4 Days before the conference"
2016,25-03-2016,Diversity Scholarship Application Deadline,"13 Weeks, 4 Days before the conference"
2016,04-04-2016,ASA Grant Application Deadline,"12 Weeks, 1 Days before the conference"
2016,06-04-2016,Notification of Acceptance,"11 Weeks, 6 Days before the conference"
2016,08-04-2016,Early Registration Deadline,"11 Weeks, 4 Days before the conference"
2016,25-05-2016,Regular Registration Deadline,"4 Weeks, 6 Days before the conference"
2016,20-06-2016,Late registration Deadline,"1 Weeks, 1 Days before the conference"
2016,27-06-2016,Tutorials,"0 Weeks, 1 Days before the conference"
2016,28-06-2016,Conference opens,"0 Weeks, 0 Days conference started"
2016,30-06-2016,Conference ends,"0 Weeks, 2 Days conference ended"
